time_bucket,diff_bucket,sample_size,up_win_rate,down_win_rate,up_intercept,up_slope_price,up_slope_time,down_intercept,down_slope_price,down_slope_time
3-6m,"(-120, -100]",8758,0.08529344599223566,0.9147065540077643,0.2757569606058741,0.0024751015515129204,0.0003001481491394734,0.7242430393941259,-0.0024751015515129204,-0.0003001481491394734
3-6m,"(120, 140]",8011,0.9354637373611284,0.06453626263887158,1.2040292513843345,-0.0008773454537793289,-0.0005712775579654495,-0.20402925138433448,0.0008773454537793289,0.0005712775579654495
3-6m,"(-140, -120]",7345,0.08114363512593602,0.918856364874064,-0.14793084680308233,-0.0008397037855580882,0.00044550074613782333,1.1479308468030824,0.0008397037855580882,-0.00044550074613782333
3-6m,"(-160, -140]",6692,0.06978481769276748,0.9302151823072325,-0.005276169713759839,-0.0009417541965833772,-0.00024315594739752902,1.0052761697137598,0.0009417541965833772,0.00024315594739752902
3-6m,"(140, 160]",6422,0.9243226409218313,0.07567735907816875,1.2177056336621155,-0.00029368013463804425,-0.0009211223337260848,-0.21770563366211548,0.00029368013463804425,0.0009211223337260848
3-6m,"(-180, -160]",5542,0.0523276795380729,0.9476723204619271,0.3307509581825153,0.0018915942248587895,0.00016104554750076528,0.6692490418174847,-0.0018915942248587895,-0.00016104554750076528
3-6m,"(160, 180]",5304,0.9451357466063348,0.054864253393665185,0.7103078418780148,0.002074022712911954,-0.00043280567885670596,0.28969215812198523,-0.002074022712911954,0.00043280567885670596
3-6m,"(-200, -180]",5073,0.026611472501478415,0.9733885274985216,-0.07191479078276229,-0.0002602943386846247,0.00018358132998987385,1.0719147907827622,0.0002602943386846247,-0.00018358132998987385
3-6m,"(180, 200]",4925,0.964263959390863,0.03573604060913704,1.122023196009285,-0.00029519923698046406,-0.0003820741695654226,-0.12202319600928502,0.00029519923698046406,0.0003820741695654226
3-6m,"(200, 220]",4183,0.980635907243605,0.019364092756394946,0.7129861192418041,0.0014420647602747586,-0.00013013926176796715,0.2870138807581959,-0.0014420647602747586,0.00013013926176796715
3-6m,"(-220, -200]",3808,0.024422268907563025,0.975577731092437,0.09540096154031195,0.0006854778129197254,0.0002739915389130334,0.904599038459688,-0.0006854778129197254,-0.0002739915389130334
3-6m,"(-240, -220]",3498,0.02801600914808462,0.9719839908519153,-0.025792728908423504,0.00029847049538045243,0.0004459167980324213,1.0257927289084234,-0.00029847049538045243,-0.0004459167980324213
